Summary
SV_Change WO・PO Status To Cancel(@Okinawa)
PT_BUS FORCE Cost adjustの結果が正しくありません
CMVM_与信限度額更新_中国
VO_リサイクルステータス更新_青森
SV_Change Service Quote Status(@Hakodate)
SV_Change PO Cost(Only Siebel)(@Chugoku)
SV_Recovery Service Quote(Manual Discount Amount)(＠Chugoku)
VO_マスタ更新（eキャンター）_岡山
SV_BUS FORCE I042297598が移行されていない
SV_BUS FORCE 外注発注書が実行レポートの選択肢にでてこない
COM_FDP社員マスタ新規登録_沖縄20260722
NV_見積で型式選択ができない_中国
CMVM_BUS FORCE 顧客情報変更承認フローでSCHQ-CS-Snr-Mgr承認者に対してUIDが割り当てされませんでした
UV_BUS FORCE 中古車在庫に再販指示価格が移行されていない
UV_BUS FORCE 中古車スタッフが査定後に承認依頼が出来ない
CMVM_8FDP新規UID登録_IT平田
PT_BUS FORCE 直購品の価格マスタが存在しない
SV_BUS FORCE サービス履歴 画面でJCをクリックすると権限エラー
COM_FDP社員マスタ新規登録_GienTech用
SV_BUS FORCE クローズ承認依頼が承認依頼中となる
Request for a Quote and Risk Assessment Regarding Changing the D2S Authentication Method to OAuth
CMVM_売掛先情報更新エラー_中国
UV_BUS FORCE SC UAT環境のトランザクションデータが移行されている
PT_N000393332 recovery in Aomori
Com_Inbox daily recovery(21-25.Jul)
INS_BUS FORCE_Insurance Transaction data not migrated
SV_BUS FORCE 整備作業納品書と整備作業請求書の発行元が正しくない
NV_見積改訂が受注へ反映していない_和歌山
VO_マスタ更新（S袈装)_7社
VO_マスタ更新（S袈装）_岡山
NV_BUS FORCE_Siebel Batch Jobs unable to process
SV_Individual Invoice Issue(＠Chugoku)
SV_Change JC・WO・PO Status To Cancel(@Shikoku)
SV_BUS FORCE マイナーパーツ/交換部品管理 マスタの修正
SV_BUS FORCE JCをクローズしたが再編集ボタンが非活性かつJVも作成されていない。
UV_BUS FORCE 中古車販売注文書の左上に当社の表記が出ていない
NV_BUS FORCE_Wrong Values Displayed in Plan Date Addition Master (予定日加算マスタ)
UV FDP青森 中古車在庫の取消依頼
SV_Change PO Cost(Only Siebel)(@Wakayama)
INS_Spread sheet value change
SV_BUS FORCE WO作成時に ”作業価格表” が自動表示されない
VO_リサイクルステータス更新_中国
Com_BUS FORCE_RCR Jobs Failure
SV_Change WO and Labor Line Item Status(＠Okinawa)
SV_Change WO・PO Status(Cancel)(＠Chugoku)
CMVM_FDP顧客・車両データー提供(岩手、四国、沖縄、和歌山）
CMVM_FDP顧客・車両データー提供(岡山、青森、函館、中国）
SV_Change WO・PO Status(Cancel)(＠Chugoku)
UV FDP中国 中古車在庫の取消依頼
INS_BUS FORCE_Insurance company not available on Spread sheet creation
SV_Change Service Quote Status and Parts Return Order Recovery(@Okayama)
SV_Change WO・PO Status(Cancel)(＠Chugoku)
SV_Supplier code and Name(@Chugoku)
NV_BUS FORCE_内部結合
CMVM_顧客住所が違う
UV_BUS FORCE 諸費用請求書が真っ白になる
UV_BUS FORCE 諸費用請求書作成中にエラーになる
UV_BUS FORCE 納品書の注意マークがズレている
UV_BUS FORCE 中古車販売注文書２のロゴの位置が右にズレている
UV_BUS FORCE 買取見積書のPDFが発行されない
UV_BUS FORCE 査定依頼の情報保存時（CTRL+S）で1回だけエラーが出る
SV_Change JC Status(Cancel)(＠Okayama)
UV_BUS FORCE 査定依頼の車種の選択時に同じ値が何個もある
UV FDP岩手 中古車の在庫取消依頼
CMVM_BUS FORCE 車検証取り込み時不具合
Com_Inbox daily recovery(13-18.Jul)
CMVM_FDP顧客・車両データー提供(岩手、和歌山、沖縄、四国）
CMVM_FDP顧客・車両データー提供(岡山、青森、函館、中国）
PT_BUS_FORCE Approval Eligibility Master(部品見積閾値マスタ）が未設定の為、部品見積が自動承認になってしまう
PT_BUS FORCE 販売返品の承認フローが設定されなかった
PT_BUS FORCE 経費出庫票BIPの会社名ロゴが表示されず印刷はずれている
CMVM_ 車両マスタ・顧客マスタのデータ抽出_各FDP
SV_BUS FORCE 価格リストに明細がないレコードが多数ある。
SV_Change PO Cost(Only Siebel)(@Wakayama)
UV FDP青森 中古車在庫の取消依頼
PT_BUS FORCE 部品発注書・発注指示書BIPの会社名ロゴが表示されず印刷がずれている
CMVM_BUS FORCE 車両マスタ内容不備
CMVM_BUS FORCE 車両マスタの「市場措置情報」タブ選択時エラーになる
VO_シャシオーダーキャンセル_岩手
"SV_Recovery Expense Order(Price ""0"")(@Okayama)"
NV FDP中国 受注へ訂正稟議が反映しない
Com_BUS FORCE BranchSupplierに初期ファイルの内容が設定されていない
Com_BUS FORCE SCマスタに初期配備ファイルに無い他FDPのレコードが存在する
SV_Journal Vector Recovery(＠Shikoku)
PT_BUS FORCE BIP Parts Quoteのヘッダーの会社ロゴが三菱マークのままになっている
SV_BUS FORCE  油脂マスタの部品名称が文字化けしている
SV_BUS FORCE ベイ（ストール）マスタの名称がことなる。
COM_FDP中国_社員マスタ更新_20260708
SV_BUS FORCE Service LABOR Branch Price/Cost LISTの追加依頼
PT_BUS FORCE Inventory masterに不要な支店が存在する
VO_マスタ更新（外色）_岡山
COM_社員マスタ更新_FDP沖縄20260708
COM_社員マスタ更新_FDP四国20260708
SV Vehicle Master Export(@Okayama)
SV_Change Line Item Status(@Iwate)
CMVM_FDP中国顧客売掛マスタ抽出依頼_20260707
NV_BUS FORCE_トランザクション
INS_BUS FORCE_Mismatch Insurance company master & 10 Digit master
NV FDP中国 受注の承認中に見積改訂をした為、訂正が反映しない
CMVM_BUS FORCE 売掛先・買掛先情報更新ボタン押下時、エラーとなる
SV_Maintenance Contract Master Update(ALL-FDP)
SV_Change PO Cost(Only Siebel)(@Chugoku)
SV_Change WO・PO Status(Cancel)(＠Chugoku)
CMVM_BUS FORCE 車両マスタに添付されているファイルが移行されていない
SV_The JC Close has not reached the KB.(@Chugoku)
Com_BUS FORCE 回収担当拠点、回収担当者が変換されていない為9999になっている
Com_BUS FORCE 社員マスタのposition、responsibilityが異なる
NV_BUS FORCE_マスタ移行確認
Com_BUS FORCE 部署名が６月２日提供した初期配備名と異なる
Com_BUS FORCE 支店名が６月２日提供した初期配備名と異なる
CMVM_FDP顧客・車両データー提供(岩手、四国、沖縄、和歌山）
CMVM_FDP顧客・車両データー提供(岡山、青森、函館、中国）
SV_Approvers Recovery(@Shikoku)
FORCEとKB間のIF仕様の整理
UV FDP青森 中古車在庫の取消依頼
Com_Inbox daily recovery(06-11.Jul)
Com_Inbox daily recovery(06-11.Jul)
SV_Change WO・PO Status(Cancel)(＠Shikoku)
Kaizen approval for Parts Action and Transaction creation
SV_Change and Add Lubrication Master(@Wakayama)
SV_Change JC・WO Type(@Aomori)
SV_Change PO Cost(Only Siebel)(@Okayama)
VO_マスタ更新（オプション価格）_函館
SV_Journal Vector Issue(@Shikoku)
PT_N000607681 recovery in Okayama
INC6683499 - PT_The Original Part Number is not displayed on the BIP order sheet.
SV_MGW Approval Issue(@Shikoku)
COM_定期社員マスタ更新_FDP岩手_20260702
COM_社員マスタ更新_FDP和歌山_20260702
UV FDP岩手 架装発注、部品発注の購入オーダーが作成できない
COM_社員マスタ新規追加_FDP岡山_20260702
COM_定期社員マスタ更新追加_FDP四国_20260701
SV_Change Lubrication Master Price(@Hakodate)
SV_Change and Add Lubrication Master(@Okayama)
SV_Change PO Cost(Only Siebel)(@Okayama)
UV FDP中国 KBインターフェースエラーリカバリ
VO_リサイクルデータが表示されていない_中国
SV_Change JC and Line Item Type(@Chugoku)
COM_定期社員マスタ更新_FDP中国_20260630
"SV_Recovery Expense Order(Price ""0"")(@Okayama)"
SV_Change WO・PO Status(Cancel)(＠Okayama)
VO_マスタ更新（外色）_岡山
SV_Change and Add Lubrication Master(@Aomori)
COM_FDP四国_定期EmployeeMaster_20260629
SV_Change Service Quote Status(@Shikoku)
UV FDP中国 納車完了承認の承認ルートが作成されない
SV_Change Quote Status(＠Aomori)
SV_Change Lubrication Master Price(@Chugoku)
PT_Cycle Count batch job process and Cycle count 1-6R2ZCW  recovery in Wakayama.
NV_納車承認エラー_中国
SV_Change and Add Lubrication Master(@Hakodate)
Com_Inbox daily recovery(29.Jun-04.Jul)
VO_マスタ更新（大型）_沖縄
SV_Change Parts Internal Return Order Status(@Okayama)
SV_Change Lubrication Master Price(@Shikoku)
SV_Change Supplier Code and Name(＠Aomori)
SV_Change PO Cost(Only Siebel)
SV_Change WO & PO Status(Cancelled)
VO_マスタ更新（大型）_岩手
UV FDP岡山 架装発注の購入オーダーが作成できない
VO_マスタ更新（大型）_青森
VO_マスタ更新（大型）_岡山
COM_EmployeeMaster_FDP岡山20260626
UV FDP岩手 架装発注の購入オーダーが作成できない
SV_Change Claim Type(@Shikoku)
SV_Change Quote and WO Status(＠Aomori)
SV_Change Expense Status(@Okinawa)
VO_リサイクルステータス更新_四国
VO_マスタ更新（S袈装）_岡山
VO_マスタ更新（S袈装）_7社
VO_マスタ更新（小型OPT追加）_7社
PT_Not created JV of Parts Sales Return M000486052
NV_見積に支店長名が表示されない_中国
UV FDP岩手 孫取車両の購入オーダーが作成されない
SV_Journal Vector Issue(@Shikoku)
CMVM_取引先マスタ作成エラー_中国
CMVM_取引先区分変更_岡山
SV Change JC Status (Manual Close)(@Shikoku)
VO_車両マスタ入力不可_岡山
SV_Change WO Status(@Chugoku)
NV_シャシ金額違い_函館
SV_Change Lubrication Master Price(@Okinawa)
NV_納車承認エラー_函館
Liability insurance premium and Agency commission Revision(2026 Aug)
VO_マスタ更新（大型追加）_四国
VO_マスタ更新（大型追加）_中国
NV_見積オプション価格が表示されない_四国
SV_Change JC・WO Type(@Aomori)
